    0.00 
    0.20 V
      frequency    real         imag
      254.28    -0.0004636    -0.0009048
      254.29    -0.0003336    -0.0009068
      254.30    -0.0003045    -0.0008974
      254.31    -0.0004226    -0.0007211
      254.32    -0.0003506    -0.0008845
      254.33    -0.0002291    -0.0008493
      254.35    -0.0005394    -0.0008585
      254.36    -0.0004048    -0.0007314
      254.37    -0.0004246    -0.0008649
      254.38    -0.0003599    -0.0008885
      254.39    -0.0002769    -0.0007150
      254.40    -0.0005058    -0.0007524
      254.41    -0.0003139    -0.0008496
      254.42    -0.0004310    -0.0007267
      254.43    -0.0003873    -0.0006842
      254.44    -0.0003287    -0.0006867
      254.46    -0.0003253    -0.0008443
      254.47    -0.0002119    -0.0008115
      254.48    -0.0002248    -0.0006219
      254.49    -0.0003507    -0.0008715
      254.50    -0.0004173    -0.0007730
      254.51    -0.0003587    -0.0008283
      254.52    -0.0003227    -0.0008783
      254.53    -0.0003114    -0.0008466
      254.54    -0.0002298    -0.0008888
      254.55    -0.0002753    -0.0008569
      254.57    -0.0005100    -0.0008206
      254.58    -0.0003162    -0.0007012
      254.59    -0.0002268    -0.0006908
      254.60    -0.0003654    -0.0008153
      254.61    -0.0003924    -0.0008046
      254.62    -0.0005432    -0.0006976
      254.63    -0.0002573    -0.0008522
      254.64    -0.0003881    -0.0006193
      254.65    -0.0004794    -0.0006466
      254.66    -0.0003671    -0.0005768
      254.68    -0.0002694    -0.0005814
      254.69    -0.0004320    -0.0006822
      254.70    -0.0004337    -0.0008045
      254.71    -0.0003539    -0.0008444
      254.72    -0.0003659    -0.0008364
      254.73    -0.0003904    -0.0007301
      254.74    -0.0003773    -0.0008993
      254.75    -0.0004592    -0.0009044
      254.76    -0.0003563    -0.0008366
      254.77    -0.0003561    -0.0006145
      254.79    -0.0003667    -0.0008664
      254.80    -0.0003160    -0.0007402
      254.81    -0.0002528    -0.0006547
      254.82    -0.0004655    -0.0007486
      254.83    -0.0002427    -0.0008741
      254.84    -0.0005254    -0.0008019
      254.85    -0.0001912    -0.0007781
      254.86    -0.0003507    -0.0007618
      254.87    -0.0004280    -0.0007152
      254.88    -0.0002903    -0.0008888
      254.90    -0.0003246    -0.0006648
      254.91    -0.0004106    -0.0006969
      254.92    -0.0003986    -0.0008432
      254.93    -0.0003314    -0.0008072
      254.94    -0.0001184    -0.0007082
      254.95    -0.0002732    -0.0007076
      254.96    -0.0002005    -0.0008163
      254.97    -0.0003964    -0.0007889
      254.98    -0.0002832    -0.0007764
      254.99    -0.0002374    -0.0009127
      255.01    -0.0002697    -0.0007353
      255.02    -0.0002636    -0.0006630
      255.03    -0.0002978    -0.0009331
