   37.56 C
      frequency    real         imag
      255.13    -0.0010461    -0.0019720
      255.14    -0.0009982    -0.0022084
      255.15    -0.0008794    -0.0021053
      255.16    -0.0009977    -0.0023075
      255.17    -0.0010412    -0.0019829
      255.18    -0.0009229    -0.0022463
      255.19    -0.0010765    -0.0021305
      255.20    -0.0009744    -0.0019665
      255.21    -0.0009684    -0.0022321
      255.23    -0.0011202    -0.0021027
      255.24    -0.0009883    -0.0021290
      255.25    -0.0008779    -0.0021237
      255.26    -0.0010644    -0.0020844
      255.27    -0.0010330    -0.0020261
      255.28    -0.0011103    -0.0020796
      255.29    -0.0010399    -0.0020284
      255.30    -0.0011913    -0.0021524
      255.31    -0.0011384    -0.0019737
      255.32    -0.0012524    -0.0022773
      255.34    -0.0011227    -0.0020985
      255.35    -0.0010246    -0.0022112
      255.36    -0.0012052    -0.0023278
      255.37    -0.0010808    -0.0020870
      255.38    -0.0010525    -0.0021376
      255.39    -0.0011230    -0.0020170
      255.40    -0.0010153    -0.0020091
      255.41    -0.0012015    -0.0019543
      255.42    -0.0010932    -0.0019568
      255.43    -0.0010458    -0.0018445
      255.45    -0.0011475    -0.0019054
      255.46    -0.0011588    -0.0020344
      255.47    -0.0010050    -0.0022507
      255.48    -0.0011833    -0.0021026
      255.49    -0.0011218    -0.0020940
      255.50    -0.0008723    -0.0020415
      255.51    -0.0009087    -0.0020579
      255.52    -0.0011834    -0.0020106
      255.53    -0.0010102    -0.0019136
      255.54    -0.0011562    -0.0019676
      255.56    -0.0011331    -0.0019795
      255.57    -0.0010734    -0.0019783
      255.58    -0.0009513    -0.0021098
      255.59    -0.0011114    -0.0020010
      255.60    -0.0012554    -0.0021392
      255.61    -0.0011382    -0.0020552
      255.62    -0.0010943    -0.0021046
      255.63    -0.0010067    -0.0022142
      255.64    -0.0011605    -0.0021347
      255.65    -0.0010266    -0.0021518
      255.67    -0.0010654    -0.0019883
      255.68    -0.0009607    -0.0020114
      255.69    -0.0011503    -0.0018900
      255.70    -0.0010974    -0.0020649
      255.71    -0.0011633    -0.0019374
