frequency    real         imag
      235.88     0.0003101    -0.0029221
      235.90     0.0004219    -0.0029595
      235.93     0.0003022    -0.0029587
      235.95     0.0004637    -0.0030759
      235.98     0.0003198    -0.0029933
      236.00     0.0003635    -0.0028584
      236.03     0.0001963    -0.0029021
      236.05     0.0002404    -0.0031068
      236.08     0.0004032    -0.0030075
      236.10     0.0001591    -0.0029410
      236.13     0.0001579    -0.0027950
      236.15     0.0001371    -0.0029995
      236.18     0.0001195    -0.0030303
      236.21     0.0000787    -0.0030658
      236.23     0.0001771    -0.0030023
      236.26     0.0001374    -0.0029631
      236.28     0.0001994    -0.0029885
      236.31     0.0001973    -0.0032682
      236.33    -0.0000806    -0.0030660
      236.36    -0.0000104    -0.0031084
      236.38     0.0000877    -0.0030308
      236.41     0.0000060    -0.0030007
      236.43     0.0000490    -0.0029398
      236.46     0.0000472    -0.0030010
      236.48    -0.0000764    -0.0029873
      236.51    -0.0001607    -0.0031888
      236.53    -0.0000357    -0.0030432
      236.56    -0.0001046    -0.0030359
      236.58    -0.0000450    -0.0028957
      236.61    -0.0000850    -0.0029796
      236.63    -0.0001090    -0.0028882
      236.66    -0.0000295    -0.0029828
      236.68    -0.0002178    -0.0028742
      236.71    -0.0001652    -0.0028458
      236.73    -0.0002143    -0.0029307
      236.76    -0.0001781    -0.0029155
      236.78    -0.0000712    -0.0030228
      236.81    -0.0002587    -0.0029385
      236.84    -0.0002277    -0.0029730
      236.86    -0.0002923    -0.0030098
      236.89    -0.0003035    -0.0029587
      236.91    -0.0004983    -0.0029248
      236.94    -0.0001884    -0.0027782
      236.96    -0.0002564    -0.0029402
      236.99    -0.0003975    -0.0030221
      237.01    -0.0003218    -0.0028110
      237.04    -0.0003632    -0.0028284
      237.06    -0.0005022    -0.0028828
      237.09    -0.0003364    -0.0030228
      237.11    -0.0003687    -0.0029809
      237.14    -0.0003549    -0.0029592
      237.16    -0.0004275    -0.0029489
      237.19    -0.0006169    -0.0028258
      237.21    -0.0003428    -0.0029748
      237.24    -0.0004853    -0.0028853
      237.26    -0.0004397    -0.0028706
      237.29    -0.0004564    -0.0028525
      237.31    -0.0004326    -0.0029320
      237.34    -0.0006227    -0.0030122
      237.36    -0.0005022    -0.0029041
      237.39    -0.0006726    -0.0028645
      237.41    -0.0004040    -0.0028349
      237.44    -0.0006765    -0.0027919
      237.47    -0.0006972    -0.0029804
      237.49    -0.0005170    -0.0028536
      237.52    -0.0005325    -0.0027455
      237.54    -0.0005697    -0.0027416
      237.57    -0.0007534    -0.0027886
      237.59    -0.0007264    -0.0028915
      237.62    -0.0007454    -0.0026994
      237.64    -0.0006445    -0.0027547
      237.67    -0.0008332    -0.0028467
      237.69    -0.0005776    -0.0028418
      237.72    -0.0007059    -0.0027035
      237.74    -0.0006177    -0.0026894
      237.77    -0.0008114    -0.0028992
      237.79    -0.0008865    -0.0028314
      237.82    -0.0008569    -0.0025115
      237.84    -0.0009065    -0.0027947
      237.87    -0.0008669    -0.0028082
      237.89    -0.0008536    -0.0027507
      237.92    -0.0008593    -0.0026242
      237.94    -0.0009297    -0.0026098
      237.97    -0.0009496    -0.0028105
      237.99    -0.0007926    -0.0027778
      238.02    -0.0010527    -0.0027146
      238.05    -0.0009510    -0.0027458
      238.07    -0.0008702    -0.0026190
